Codigo_Accidente;Formulario;Longitud;Latitud;Direccion;Fecha_Acc;AA_Acc;MM_Acc;DD_Mes_Acc;Dia_Semana_Acc;Hora_Acc;Min_Acc;Localidad;Clase_Acc;Elemento_Choque;Tipo_Objeto_Fijo;Gravedad_Indicador_Tradicional;Gravedad_indicador_30d;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual;
10592995;A001572542;-74,09639491;4,551894222;CL 40 S- KR 1 F 02;27/06/2023;2023;Junio;27;martes;10;51;SAN CRISTOBAL;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;SI;;;;;;;;;;;
10592754;A001572258;-74,09308391;4,744072654;CL 145 - KR 102  02;23/06/2023;2023;Junio;23;viernes;23;41;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593000;A001571859;-74,08373113;4,614333982;CL 19 - KR 22  02;28/06/2023;2023;Junio;28;miércoles;14;20;LOS MARTIRES;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593001;A001572694;-74,14411475;4,612686963;KR 72 K - CL 38 S 02;28/06/2023;2023;Junio;28;miércoles;7;20;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;SI;;;;;;;;;;;;;;;
10593099;A001572808;-74,10162149;4,710068819;KR 92 - CL 85 A 02;02/07/2023;2023;Julio;2;domingo;20;39;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593100;A001572586;-74,14496574;4,599196414;AV AVENIDA BOYACA - CL 44 S 02;03/07/2023;2023;Julio;3;lunes;9;30;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593018;A001572673;-74,12005002;4,656434791;AV AVENIDA BOYACA - CL 22  02;28/06/2023;2023;Junio;28;miércoles;6;50;FONTIBON;Volcamiento;;;Con Heridos;Con Heridos;SI;;;;;;;;;;;;;;;;;;;;
10589932;A001569302;-74,1284737;4,658929064;KR 80 - CL 20  02;16/04/2023;2023;Abril;16;domingo;7;39;FONTIBON;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;SI;;SI;;SI;;;;;;;;;;;
10589943;A001569441;-74,18496858;4,600988264;KR 78 B - CL 65 F S 02;15/04/2023;2023;Abril;15;sábado;6;56;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;;;;;;;;;;;;;;;;
10589946;A001568892;-74,16212318;4,599726435;KR 71 B - CL 57 B S 02;16/04/2023;2023;Abril;16;domingo;4;11;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;;;SI;;;;;;;;;;;
10589949;A001569506;-74,10330352;4,574773185;KR 12 D - CL 27 A S 02;16/04/2023;2023;Abril;16;domingo;21;30;RAFAEL URIBE URIBE;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;;;;;;;;;;;;
10589951;A001569245;-74,09540952;4,574994725;KR 10 - CL 22 A S 02;16/04/2023;2023;Abril;16;domingo;10;15;SAN CRISTOBAL;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;;;;;;;;;;;
10589953;A001569507;-74,12538253;4,561822515;KR 12 C - CL 52 S 02;16/04/2023;2023;Abril;16;domingo;9;0;TUNJUELITO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;SI;;;;;;;;;;;;;;;
10590138;A001569389;-74,07379357;4,609811794;CL 13 - KR 22  02;19/04/2023;2023;Abril;19;miércoles;17;30;LOS MARTIRES;Otro;;;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10590474;A001569851;-74,03088359;4,812206378;KR 7 - CL 237  02;27/04/2023;2023;Abril;27;jueves;15;2;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10590475;A001570095;-74,0987406;4,558962407;KR 3 B - CL 36 G S 02;28/04/2023;2023;Abril;28;viernes;21;52;SAN CRISTOBAL;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
